fold,entry_ts_ms,side,book_idx,stack_same_before,stack_opp_before,abs_mean,pred_mean,pnl,win,exit_reason,entry_price,exit_price,hour_utc,realized_vol_24h,is_addon,signed_fwd_1,signed_fwd_3,signed_fwd_6,signed_fwd_12,strength_tercile,vol_tercile
3,1713808800000,-1,1,0,1,0.07050455144485719,0.07050455144485719,-0.06187057500000073,False,max_hold,3195.99,3198.66,18,0.02184068974180013,False,0.0010564495145660713,-0.0018652446918898669,-0.00826977394488293,0.005156852971695214,low,low
3,1713826800000,-1,2,1,1,0.24783723406312783,-0.24783723406312783,0.28639999999999854,True,target,3216.08,3183.92,23,0.02280026430974475,True,-0.005517935635547477,0.0016256807538156393,0.004730105731775125,0.006261997211332138,mid,mid
3,1713830400000,-1,3,2,1,0.4364519970783191,-0.4364519970783191,0.10020675499999744,True,max_hold,3197.06,3183.53,0,0.02327655828197293,True,0.0035817442970360602,0.01060843015754076,0.013316502451567125,0.00943627946311143,high,mid
3,1713819600000,1,2,1,1,0.20016262557154627,-0.20016262557154627,-0.2597668000000002,False,max_hold,3190.04,3167.56,21,0.021345618767427632,True,0.006824411429715793,0.0063926054795548914,-0.004283640186740434,-0.00952789216115757,mid,low
3,1713848400000,1,2,1,3,0.21588115417430156,0.21588115417430156,3.8259999999998295e-05,True,max_hold,3176.59,3180.09,5,0.016920502252357784,True,-0.003156873030880858,-0.005016444010265464,-0.0015391719255041236,0.01648170427167317,mid,low
3,1713834000000,-1,4,2,1,0.2771960377616071,-0.2771960377616071,0.25219636999999784,True,max_hold,3214.7,3185.96,1,0.023291815258752808,True,0.003535333048343192,0.009295460857029592,0.014309829973258803,-0.0006115845344001336,mid,mid
3,1713837600000,-1,4,3,1,0.06688729106504755,-0.06688729106504755,-0.07095472500000165,False,max_hold,3203.19,3206.760000000001,2,0.023628683278526158,True,0.0035290875727267412,0.0031094799997494205,0.00811032547769508,-0.016502476937240385,low,mid
3,1713855600000,1,4,2,2,0.517452087087985,0.517452087087985,0.7958170699999989,True,target,3175.07,3258.190000000001,7,0.01689281181613742,True,0.00273193771308633,0.0067016363135619095,0.015138037246789304,0.018468278815928274,high,low
3,1713859200000,1,4,3,2,0.5959864528366019,0.5959864528366019,0.7921793199999978,True,target,3160.51,3243.25,8,0.017186191537339215,True,-0.0006724418795540643,0.00349480357120302,0.02481405245678059,0.012706941620679535,high,low
3,1713862800000,1,5,4,2,0.5267329842438555,0.5267329842438555,0.794383014999998,True,target,3169.15,3252.12,9,0.016740179635328225,True,0.004634441450292792,0.006485690727642046,0.018654653554177614,0.013318885585844598,high,low
3,1713866400000,1,5,4,2,0.6056655334380018,0.6056655334380018,0.7938067749999986,True,target,3167.02,3249.93,10,0.017449062836733177,True,-0.00046224961479190974,0.008380239615106477,0.016345397943460904,0.010773246124335722,high,low
3,1713870000000,1,6,5,2,0.6056655334380018,0.6056655334380018,0.7975432599999973,True,target,3181.69,3264.989999999999,11,0.016897813820054095,True,0.0023060249226867224,0.02124500177749522,0.01804865618206586,0.012398423220066457,high,low
3,1713873600000,1,7,5,2,0.5094853214112616,0.5094853214112616,0.7971596500000022,True,target,3180.22,3263.48,12,0.01677571954836567,True,0.006525505656066022,0.012090547276174313,0.01320794988009899,0.013192256023302207,high,low
3,1713884400000,-1,1,0,1,0.008166538302198018,0.008166538302198018,0.2889886450000027,True,target,3244.53,3212.08,15,0.022135322854435695,False,-0.002356969185729252,-0.0011040539869995314,0.005238053887758554,-0.0037587455961891614,low,mid
3,1713891600000,-1,3,1,1,0.25149444470027144,-0.25149444470027144,0.2876425900000018,True,target,3230.46,3198.16,17,0.021862858149443977,True,0.002459826946847987,0.008711372064276857,0.005550061804697193,-0.006032138442521706,mid,low
3,1713877200000,1,7,6,2,0.37621293473630496,0.37621293473630496,0.3690144749999984,True,max_hold,3187.56,3227.99,13,0.017632446131121103,True,0.012289701411085874,0.007898963124658875,0.003280580026506552,0.009657753176892436,high,low
3,1713931200000,1,1,0,4,0.03064866135906336,0.03064866135906336,0.2880014900000011,True,target_entry_bar,3238.22,3270.6,4,0.021101442344100153,False,-0.004431179109544048,-0.00660854248152154,-0.001495408270922871,-0.02995403683780795,low,low
3,1713895200000,-1,3,2,1,0.24070166313128258,-0.24070166313128258,-0.24709444999999874,False,max_hold,3234.38,3255.52,18,0.021871481718140278,True,0.003336389883644597,0.006335113567365935,1.5489275225877286e-05,-0.00807301024770446,mid,low
3,1713920400000,-1,3,1,1,0.3483291489464753,-0.3483291489464753,-0.31304264000000237,False,max_hold,3226.37,3254.11,1,0.019813842917611815,True,0.0023133563124667633,-0.009973067467230257,-0.0032986175456803934,-0.0027673795139788737,high,low
