entry_ts_utc,exit_ts_utc,entry_ts_ms,exit_ts_ms,side,book_idx,tag,entry_price,exit_price,qty,realized_pnl,return_units,fees,exit_reason,max_hold_bars,stop_offset,target_offset
2026-04-11T06:00:00+00:00,2026-04-11T18:00:00+00:00,1775887200000,1775930400000,LONG,3,k7_b3,2232.55,2258.5,0.01,0.23479922499999817,0.010517086963337804,0.024700775,max_hold,,,
2026-04-11T07:00:00+00:00,2026-04-11T18:00:00+00:00,1775890800000,1775930400000,LONG,4,k7_b4,2235.84,2294.37,0.01,0.5603838449999975,0.025063682776942778,0.024916155000000002,target,,,
2026-04-11T08:00:00+00:00,2026-04-11T18:00:00+00:00,1775894400000,1775930400000,LONG,5,k7_b5,2232.8,2291.25,0.01,0.5596177249999983,0.025063495386958,0.024882275000000002,target,,,
2026-04-11T09:00:00+00:00,2026-04-11T18:00:00+00:00,1775898000000,1775930400000,LONG,6,k7_b6,2232.63,2291.08,0.01,0.5596195949999982,0.025065487563993957,0.024880405,target,,,
2026-04-11T16:00:00+00:00,2026-04-11T18:00:00+00:00,1775923200000,1775930400000,LONG,5,k7_b5,2249.52,2308.41,0.01,0.5638313849999987,0.02506451976421631,0.025068615000000002,target,,,
2026-04-11T17:00:00+00:00,2026-04-11T19:00:00+00:00,1775926800000,1775934000000,LONG,6,k7_b6,2258.74,2317.87,0.01,0.5661286450000012,0.02506391373066405,0.025171355,target,,,
2026-04-11T18:00:00+00:00,2026-04-11T19:00:00+00:00,1775930400000,1775934000000,LONG,6,k7_b6,2259.63,2318.79,0.01,0.5664186899999986,0.02506687776317355,0.025181310000000005,target,,,
2026-04-11T19:00:00+00:00,2026-04-12T01:00:00+00:00,1775934000000,1775955600000,LONG,6,k7_b6,2305.54,2259.43,0.01,-0.4862073350000013,-0.021088653200551772,0.025107335,stop,,,
2026-04-11T20:00:00+00:00,2026-04-12T01:00:00+00:00,1775937600000,1775955600000,LONG,6,k7_b6,2316.41,2270.08,0.01,-0.48852569499999926,-0.021089776637123796,0.025225695,stop,,,
2026-04-11T22:00:00+00:00,2026-04-12T01:00:00+00:00,1775944800000,1775955600000,SHORT,1,k7_b1,2297.3,2274.33,0.01,0.20455603500000252,0.00890419340094905,0.025143965000000004,target,,,
2026-04-11T23:00:00+00:00,2026-04-12T01:00:00+00:00,1775948400000,1775955600000,SHORT,2,k7_b2,2294.69,2271.74,0.01,0.20438463500000273,0.008906851688027696,0.025115365,target,,,
2026-04-12T00:00:00+00:00,2026-04-12T01:00:00+00:00,1775952000000,1775955600000,SHORT,3,k7_b3,2282.71,2222.95,0.01,0.5728188700000022,0.02509380823670121,0.024781130000000002,target,,,
2026-04-12T01:00:00+00:00,2026-04-12T01:00:00+00:00,1775955600000,1775955600000,SHORT,4,k7_b4,2283.41,2223.63,0.01,0.5730112799999975,0.0250945419350882,0.02478872,target_entry_bar,,,
2026-04-12T06:00:00+00:00,2026-04-12T18:00:00+00:00,1775973600000,1776016800000,SHORT,3,k7_b3,2214.89,2202.0,0.01,0.10460710499999873,0.004722902943261234,0.024292895000000002,max_hold,,,
2026-04-12T07:00:00+00:00,2026-04-12T19:00:00+00:00,1775977200000,1776020400000,SHORT,4,k7_b4,2213.81,2199.24,0.01,0.12142822500000164,0.005485033720147693,0.024271775000000002,max_hold,,,
2026-04-12T08:00:00+00:00,2026-04-12T20:00:00+00:00,1775980800000,1776024000000,SHORT,5,k7_b5,2215.9,2197.23,0.01,0.1624277850000007,0.007330104472223507,0.024272215000000003,max_hold,,,
2026-04-12T09:00:00+00:00,2026-04-12T21:00:00+00:00,1775984400000,1776027600000,SHORT,6,k7_b6,2211.83,2212.25,0.01,-0.028532440000000728,-0.0012899924496910127,0.02433244,max_hold,,,
2026-04-12T10:00:00+00:00,2026-04-12T22:00:00+00:00,1775988000000,1776031200000,SHORT,7,k7_b7,2211.9,2210.06,0.01,-0.005920779999998543,-0.00026767846647671883,0.02432078,max_hold,,,
2026-04-12T23:00:00+00:00,2026-04-13T05:00:00+00:00,1776034800000,1776056400000,LONG,1,k7_b1,2199.45,2189.21,0.01,-0.12653762999999782,-0.005753148741730788,0.02413763,max_hold,,,
2026-04-13T00:00:00+00:00,2026-04-13T06:00:00+00:00,1776038400000,1776060000000,LONG,2,k7_b2,2191.71,2190.36,0.01,-0.03760138499999909,-0.001715618626551829,0.024101385000000003,max_hold,,,
2026-04-13T01:00:00+00:00,2026-04-13T07:00:00+00:00,1776042000000,1776063600000,SHORT,1,k7_b1,2202.98,2197.54,0.01,0.030197140000000545,0.0013707405423562876,0.02420286,max_hold,,,
2026-04-13T02:00:00+00:00,2026-04-13T08:00:00+00:00,1776045600000,1776067200000,SHORT,2,k7_b2,2201.32,2185.5,0.01,0.13407249000000165,0.006090549761052534,0.024127510000000005,max_hold,,,
2026-04-13T05:00:00+00:00,2026-04-13T11:00:00+00:00,1776056400000,1776078000000,LONG,2,k7_b2,2190.31,2182.75,0.01,-0.09965182999999946,-0.004549667855235079,0.02405183,max_hold,,,
2026-04-13T06:00:00+00:00,2026-04-13T12:00:00+00:00,1776060000000,1776081600000,LONG,2,k7_b2,2191.46,2186.29,0.01,-0.07577762500000074,-0.0034578602849242393,0.024077625000000002,max_hold,,,
2026-04-13T09:00:00+00:00,2026-04-13T17:00:00+00:00,1776070800000,1776099600000,LONG,3,k7_b3,2185.43,2242.64,0.01,0.5477456150000004,0.025063516790746008,0.024354385,target,,,
2026-04-13T11:00:00+00:00,2026-04-13T17:00:00+00:00,1776078000000,1776099600000,LONG,4,k7_b4,2183.85,2241.02,0.01,0.5473632150000007,0.02506413970739752,0.024336785,target,,,
2026-04-13T10:00:00+00:00,2026-04-13T19:00:00+00:00,1776074400000,1776106800000,LONG,4,k7_b4,2188.17,2245.46,0.01,0.5485150349999997,0.02506729527413316,0.024384965,target,,,
2026-04-13T12:00:00+00:00,2026-04-13T19:00:00+00:00,1776081600000,1776106800000,LONG,4,k7_b4,2187.39,2244.66,0.01,0.5483237249999999,0.0250674879651091,0.024376275000000003,target,,,
2026-04-13T16:00:00+00:00,2026-04-13T19:00:00+00:00,1776096000000,1776106800000,LONG,5,k7_b5,2209.19,2267.03,0.01,0.5537807900000015,0.02506714180310437,0.024619210000000002,target,,,
2026-04-13T22:00:00+00:00,2026-04-13T22:00:00+00:00,1776117600000,1776117600000,LONG,4,k7_b4,2260.14,2319.31,0.01,0.5665130250000008,0.025065395285247854,0.025186975,target_entry_bar,,,
2026-04-14T00:00:00+00:00,2026-04-14T06:00:00+00:00,1776124800000,1776146400000,SHORT,1,k7_b1,2367.61,2354.97,0.01,0.10042581000000328,0.004241653397307972,0.02597419,max_hold,,,
2026-04-14T09:00:00+00:00,2026-04-14T14:00:00+00:00,1776157200000,1776175200000,SHORT,1,k7_b1,2385.6,2361.74,0.01,0.2124896300000013,0.00890717764922876,0.02611037,target,,,
2026-04-14T10:00:00+00:00,2026-04-14T14:00:00+00:00,1776160800000,1776175200000,SHORT,2,k7_b2,2385.2,2361.35,0.01,0.2123939749999991,0.008904661034714031,0.026106025,target,,,
2026-04-14T13:00:00+00:00,2026-04-14T14:00:00+00:00,1776171600000,1776175200000,LONG,1,k7_b1,2374.04,2397.78,0.01,0.21115499000000235,0.008894331603511413,0.026245010000000003,target,,,
2026-04-14T16:00:00+00:00,2026-04-14T18:00:00+00:00,1776182400000,1776189600000,LONG,3,k7_b3,2364.44,2317.15,0.01,-0.49864874499999967,-0.021089507240615098,0.025748745000000003,stop,,,
2026-04-14T15:00:00+00:00,2026-04-14T19:00:00+00:00,1776178800000,1776193200000,LONG,2,k7_b2,2353.26,2306.19,0.01,-0.49632697500000167,-0.02109103860176953,0.025626975000000003,stop,,,
2026-04-14T21:00:00+00:00,2026-04-15T00:00:00+00:00,1776200400000,1776211200000,LONG,2,k7_b2,2315.09,2338.24,0.01,0.20590668499999637,0.008894111460029474,0.025593315000000002,target,,,
2026-04-14T22:00:00+00:00,2026-04-15T10:00:00+00:00,1776204000000,1776247200000,LONG,3,k7_b3,2323.68,2319.0,0.01,-0.07233473999999837,-0.003112938958892721,0.02553474,max_hold,,,
2026-04-14T23:00:00+00:00,2026-04-15T11:00:00+00:00,1776207600000,1776250800000,LONG,4,k7_b4,2315.23,2315.72,0.01,-0.020570225000002183,-0.0008884743632383039,0.025470225,max_hold,,,
2026-04-15T00:00:00+00:00,2026-04-15T12:00:00+00:00,1776211200000,1776254400000,LONG,5,k7_b5,2322.33,2336.21,0.01,0.1131780300000011,0.004873468886850753,0.02562197,max_hold,,,
2026-04-15T03:00:00+00:00,2026-04-15T15:00:00+00:00,1776222000000,1776265200000,LONG,5,k7_b5,2324.88,2337.24,0.01,0.09795833999999673,0.004213479405388524,0.025641660000000004,max_hold,,,
2026-04-15T04:00:00+00:00,2026-04-15T16:00:00+00:00,1776225600000,1776268800000,LONG,5,k7_b5,2328.76,2330.6,0.01,-0.007226480000003092,-0.0003103145021386099,0.02562648,max_hold,,,
